<?xml version="1.0" encoding="UTF-8"?>
<repository version="2" commitCount="1">
  <instanceInfo>
    <instanceInfoProperty name="displayName" value="NewOneToITL"/>
    <instanceInfoProperty name="version" value="5.7.2"/>
    <instanceInfoProperty name="rootDir" value="."/>
    <instanceInfoProperty name="instanceType" value="localFile"/>
    <instanceInfoProperty name="fileType" value="VC"/>
    <instanceInfoProperty name="creationTime" value="1375801555765"/>
    <instanceInfoProperty name="encoding" value="UTF-8"/>
  </instanceInfo>
</repository>
